itemName,date,price1,price10,price100
Kanigloo Ear,09-07-2022,74,744,7998
Kanigloo Fabric,09-07-2022,494,2994,41999
Kanigrula Essence,09-07-2022,59949,,
Kanniball Andchain Essence,09-07-2022,8436,84497,999999
Kardorim Essence,09-07-2022,999,9999,
Kardorim's Skull,09-07-2022,4,10,
Kharnotaurus Essence,09-07-2022,15983,158000,
Kharnotaurus Eye,09-07-2022,4996,59500,
Kharnotaurus Tooth,09-07-2022,240,1098,22993
Kickroach Essence,09-07-2022,12397,135000,
Kido Beak,09-07-2022,639,6348,58885
Kimbo Essence,09-07-2022,213859,,
Kimbo Sphenoid,09-07-2022,23881,199999,
King Nidas Essence,09-07-2022,266983,,
Koalak Gravedigger Shinl ...,09-07-2022,399,4996,59990
Koalak Master Boomerang,09-07-2022,15950,191798,1499999
Koalak Mummy Ulna,09-07-2022,699,9987,74997
Kobalite,09-07-2022,889,6998,19990
Kolosso Claw,09-07-2022,2688,25798,
Kolosso Essence,09-07-2022,38965,345599,
Kolosso Fabric,09-07-2022,8700,98963,
Koolich Essence,09-07-2022,4999,,
Kornub,09-07-2022,11907,,
Korriander Essence,09-07-2022,199999,,
Korriander Eye,09-07-2022,27987,,
Kouartz,09-07-2022,2449,23859,238000
Koumiho Essence,09-07-2022,119994,,
Krackal Canine,09-07-2022,4541,44494,
Kraradia Spaulder,09-07-2022,6963,68991,699999
Kriptonite,09-07-2022,449,4978,89993
Krossflire Eye,09-07-2022,2999,32906,298886
Kung-Fu Pingwin Ear,09-07-2022,,7000,
Kurookin Fabric,09-07-2022,333,4941,49500
Kwakao Beak,09-07-2022,145,1449,
Kwaketch'd Animal Legend,09-07-2022,649999,,
Kwakwa Beak,09-07-2022,229,,34000
Kwakwa Essence,09-07-2022,7900,,
Kwamurai Katana,09-07-2022,53,298,
Kwoan Eye,09-07-2022,55,680,10000
Kwoan Tooth,09-07-2022,329,3400,32972
LeChouque Essence,09-07-2022,3698,39884,
Leatherball Tooth,09-07-2022,13990,152999,
Legend of Bram Worldbe ...,09-07-2022,877974,,
Legend of Buhorado,09-07-2022,23969998,,
Legend of Death-Defying,09-07-2022,4229994,,
Legend of Dodge,09-07-2022,497993,,
Legend of Rykke Errel,09-07-2022,21997695,,
Legend of a Thousand Le...,09-07-2022,1749931,,
Legendary Crackler Essence,09-07-2022,9987,109990,
Leopena Eye,09-07-2022,59,595,4998
Levitrof Tooth,09-07-2022,1960,19885,197999
Lichangoro Broken Blade,09-07-2022,97,989,13495
Lilbike Wheel,09-07-2022,974,9443,37771
Limestone Dragoss Horn,09-07-2022,77,479,10894
Limestone Dreggon Egg,09-07-2022,3,134,
Liroye Merline's Bark,09-07-2022,276,,32219
Litlamprey Tooth,09-07-2022,1808,24778,280000
Lord Crow Essence,09-07-2022,48489,,
Lousy Pig Chops,09-07-2022,1440,16989,543967
Mabwork Ear,09-07-2022,991,4183,39996
Madura Eye,09-07-2022,1000,9989,239998
Magic Bluish Dye,09-07-2022,20876,,
Magic Dark Dye,09-07-2022,9000,89994,
Magic Moon Fabric,09-07-2022,872,24995,
Magic Oats,09-07-2022,444,6899,
Magic Orange Dye,09-07-2022,3987,36997,
Magic Redness Dye,09-07-2022,376,3789,22997
Magic Shadowy Dye,09-07-2022,117000,,
Magic Skemage Skull,09-07-2022,1233,22000,286126
Magikrab Animal Legend,09-07-2022,864994,,
Magnesite,09-07-2022,1057,6971,
Malt,09-07-2022,81,711,3523
Maltrio Bola,09-07-2022,678,6395,
Malwood Horn,09-07-2022,533,5097,58990
Mama Koalak Bone,09-07-2022,1413,,
Manderisha Eye,09-07-2022,291,4786,
Mantiscore Carapace,09-07-2022,3593,34999,
Mantiscore Essence,09-07-2022,29986,300000,
Mastigator's Egqg,09-07-2022,332330,,
Mastodon Bone,09-07-2022,800,,
Mastogob Clavicle,09-07-2022,80,1475,14964
Mastogob Warrior Eye,09-07-2022,438,7836,83739
Mastogob Warrior Horn,09-07-2022,100,1494,9890
Mastogobbly Ear,09-07-2022,59,693,6870
Mauve Prysmaradite,09-07-2022,37800,349999,
Mecanofoux Astragalus,09-07-2022,664,7531,74899
Mecanofoux Ear,09-07-2022,6700,42399,
Mellifluous Bearbarian Cz ...,09-07-2022,2779,31996,320000
Melouse Eye,09-07-2022,1185,17970,177777
Merdiodon Spine,09-07-2022,13738,137941,
Merkator Essence,09-07-2022,179994,,
Millet,09-07-2022,999,2995,13100
Millet Nial,09-07-2022,14512,,
Minokid Horn,09-07-2022,244,4469,55996
Minotoror Essence,09-07-2022,17825,,
Minotoror Femur,09-07-2022,299,13983,
Minotoror Hoof,09-07-2022,897,,
Minotot Essence,09-07-2022,64968,,
Minotot Ethmoid,09-07-2022,5896,35000,
Minotot Femur,09-07-2022,3000,,
Minotot Hoof,09-07-2022,2998,46698,
Minotot Horn,09-07-2022,2999,,
Miremop Tooth,09-07-2022,69,1498,16439
Missiz Freezz Essence,09-07-2022,197954,,
Moon Essence,09-07-2022,7919,89999,
Moopet Fabric,09-07-2022,14771,148990,
Moowolf Essence,09-07-2022,8882,333333,
Moowolf Eye,09-07-2022,234,12999,
Moowolf Teeth,09-07-2022,4590,65000,
Mopy King Fabric,09-07-2022,39994,399952,
Morongrel Ear,09-07-2022,600,9896,98999
Mumminotor Horn,09-07-2022,500,4991,49999
Mush Mish Eye,09-07-2022,3096,37995,
Mushnid Bark,09-07-2022,5398,54997,
Mutant Tofu Tooth,09-07-2022,87,821,2951
Mysterious Fabric,09-07-2022,19999,202874,
Nagate Essence,09-07-2022,16983,169880,
Necrotick Chitin,09-07-2022,8999,60000,620000
Nelween Essence,09-07-2022,9798,95000,
Nemroz Bone,09-07-2022,574,9895,
Nessil Molar,09-07-2022,5667,56799,
Nightcrawling Brockhard ...,09-07-2022,500,9980,99993
Nightcrawling Brockhard ...,09-07-2022,2180,24999,
Nileza Essence,09-07-2022,198730,1700000,
Nocturnowl! Spike,09-07-2022,29887,319962,
Oats,09-07-2022,20,400,1298
Obsidemon Essence,09-07-2022,119669,,
Obsidemon Vertebra,09-07-2022,6997,,
Old Dreggon Bone,09-07-2022,2799,17000,
Ouassingue Fabric,09-07-2022,1345,16842,169789
Ougaa Essence,09-07-2022,190000,,
Ougaa Eye,09-07-2022,6800,58972,
Packrat Eye,09-07-2022,490,4929,58897
Patrich Eye,09-07-2022,99,1600,19973
Perfidhius Eye,09-07-2022,798,2500,25000
Phiretom Eye,09-07-2022,17937,179387,1777776
Pingwinch Beak,09-07-2022,896,11127,119984
Pingwinch Sternum,09-07-2022,2900,30899,
Pingwinkle Beak,09-07-2022,489,4492,42988
Pirolienne Bud,09-07-2022,290,2687,19779
Plains Larva Tooth,09-07-2022,97,972,5494
Pointed Tooth,09-07-2022,210,3773,37998
Potbellion Molar,09-07-2022,4694,49997,
Powa Drhell Horn,09-07-2022,2000,3000,12000
Prespic Peak,09-07-2022,115,999,7796
Propulsion Accelerator,09-07-2022,1294989,,
Protective Dreggon Tooth,09-07-2022,1292,15494,144990
Protoz'orror Essence,09-07-2022,366666,,
Puffed Frosteez,09-07-2022,887998,,
Pukachi Animal Legend,09-07-2022,2699999,,
Purple Fabric,09-07-2022,1199,7897,81837
Pyrotechnic Brockhard Ear,09-07-2022,994,23790,
Pyrotechnic Brockhard Eye,09-07-2022,10966,98774,
Pyrute,09-07-2022,11978,,
Queen Amirukam Essence,09-07-2022,498999,,
Quisnoa,09-07-2022,1154,7890,58502
Rac Queen Essence,09-07-2022,11995,159999,
Rat Batster's Slingshot,09-07-2022,387,3970,99976
Rat Fang,09-07-2022,275,2899,59899
Rat Phink's Rusty Pipe,09-07-2022,381,4429,
Raul Mops Eye,09-07-2022,128,1000,12969
Reallinotseen Vertebra,09-07-2022,14229,147999,
Reapalak Fabric,09-07-2022,1478,31799,
Red Carapace,09-07-2022,1395,12775,119990
Red Scaraleaf Carapace,09-07-2022,110,1199,14996
Reptilian Shield,09-07-2022,70,1892,10883
Resistant Rye,09-07-2022,13999,,
Retspan Pirate Tooth,09-07-2022,900,16989,
Revish Stapes,09-07-2022,14000,79000,2999999
Rhineetle Horn,09-07-2022,37623,374827,3698999
Rhinoblasty Ear,09-07-2022,1100,14688,179964
Rhinoblasty Horn,09-07-2022,4199,88899,
Rib Chops,09-07-2022,5,49,5989
Rib Jaw,09-07-2022,295,4970,39897
Rice,09-07-2022,250,399,2200
Riz Cola,09-07-2022,9983,,
Ronin Chafer Essence,09-07-2022,10000,,
Ronin Chafer Thighbone,09-07-2022,1395,9110,138000
Rotaflor Bark,09-07-2022,833,12995,138999
Rotten Egg,09-07-2022,205,1998,15691
Royal Blop Essence,09-07-2022,17899,180000,
Royal Gobball Essence,09-07-2022,3119,34398,402221
Royal Jelly Essence,09-07-2022,7789,74988,
Royal Mastogob Essence,09-07-2022,42993,,
Royal Pingwin Egg,09-07-2022,1886,38800,
Royal Pingwin Essence,09-07-2022,29970,300000,
Royal Rainbow Blop Essence,09-07-2022,9190,89999,800000
Royal Tofu Essence,09-07-2022,44969,499999,
Ruby Larva Tooth,09-07-2022,120,2190,39997
Rusty Blade,09-07-2022,290,6200,97999
Rye,09-07-2022,,,2157
Sabredon Tooth,09-07-2022,898,5199,49787
Sacred Snowfoux Bones,09-07-2022,44337,,
Samurai Ghost Fabric,09-07-2022,17990,186964,
Sandworm Shell,09-07-2022,1222,17950,
Sapphire Larva Tooth,09-07-2022,265,2896,19992
Sapphire Prysmaradite,09-07-2022,29945,287995,
Sauroshell Egg Yolk,09-07-2022,3000,42497,
Sauroshell Eye,09-07-2022,8889,64999,
Sauroshell Fang,09-07-2022,45895,479998,
Scaratos Carapace,09-07-2022,390,5389,49976
Scaratos Horn,09-07-2022,2697,29993,475000
Scratchotep Ear,09-07-2022,1343,13293,137999
Sculucanus Pincer,09-07-2022,2990,27398,
Scurvion Carapace,09-07-2022,191,2425,11812
Scurvion Pincer,09-07-2022,139,1770,11140
Seal of the Founders,09-07-2022,698000,,
Sewer Keeper Eye,09-07-2022,894,21998,
Shadow Essence,09-07-2022,45940,449998,
Shadow Horn,09-07-2022,3395,28955,
Shaman Pingwin Giant Fi: ...,09-07-2022,376,6384,107779
Shape-Shifting Dragoss I ...,09-07-2022,18996,399995,
Sharp Blade,09-07-2022,13359,135987,
Shihan and Hanshi Essence,09-07-2022,53999,,
Shimmering Silk,09-07-2022,36699,,
Shin Larva Essence,09-07-2022,9948,99999,
Shin Larva Tooth,09-07-2022,775,8999,
Short-Tempered Dark Tr...,09-07-2022,796,7800,
Shroud,09-07-2022,398,4995,59999
Shrynk Rat's Magic Skull,09-07-2022,493,5318,34689
Silf the Greater Bherb Es...,09-07-2022,57662,,
Skateman Incus,09-07-2022,5160,57982,799999
Skeleton Black Wabbit O ...,09-07-2022,137,2494,30000
Skeleton Wabbit Bone,09-07-2022,993,11997,139999
Skeleton Wabbit Skull,09-07-2022,877,9095,89999
Skeunk Essence,09-07-2022,88984,,
Skoul Claw,09-07-2022,2792,28990,289850
Slate Dreggon Egg,09-07-2022,123,1299,19986
Slender Tube,09-07-2022,100,120,1899
Slicing Canine,09-07-2022,753,7470,70000
Smiths' Essence,09-07-2022,3500,38998,
Snedon Statuette,09-07-2022,888883,,
Soft Oak Bark,09-07-2022,399,3799,45000
Soft Oak Bud,09-07-2022,3197,,
Soft Oak Essence,09-07-2022,39990,419999,
Soldier's Pike,09-07-2022,1569,15993,148994
Solfatara Ulna,09-07-2022,1095,17999,199995
Soryo Snowfoux Ear,09-07-2022,144,1787,15988
Spadere Eye,09-07-2022,45,500,9800
Spanner Tooth,09-07-2022,317,3482,28985
Sparo's Humerus,09-07-2022,282,2855,28588
Sphincter Cell Ear,09-07-2022,2476,17310,
Sphincter Cell Essence,09-07-2022,39997,,
Sphincter Cell Fabric,09-07-2022,1899,33799,
Sphincter Cell Femur,09-07-2022,555,3899,63566
Spinal Cord,09-07-2022,138,985,14894
Sponge Mob Essence,09-07-2022,1928,,
Spookkoth's Eye,09-07-2022,5000,85898,835000
Squirrol Fabric,09-07-2022,400,,
Sramurai Bone,09-07-2022,3397,33000,599991
Stabba Fibula,09-07-2022,7399,,
Stalak Ethmoid,09-07-2022,14530,150000,
Stalak Incisor,09-07-2022,12485,128483,1000000
Stapleworm Spike,09-07-2022,1458,12333,122899
Steam Crackler Egg,09-07-2022,5665,59971,
Steamcrab Carapace,09-07-2022,632,6395,63000
Steamcrab Claw,09-07-2022,12645,126631,
Steel Plate,09-07-2022,29998,279997,
Storm Flax,09-07-2022,4999,,
Stricheetru Beak,09-07-2022,1299,14894,148997
Strubian Raeman Eye,09-07-2022,139,995,30496
Stunted Rat Fabric,09-07-2022,98,542,4762
Sucatrose Tooth,09-07-2022,13881,143887,
Summoning Branch Eye,09-07-2022,1247,15887,
Sweet Barley,09-07-2022,11987,,
Sword Pommel,09-07-2022,1479,9999,69847
Sylargh Essence,09-07-2022,229972,,
Sylargh's Incisor,09-07-2022,59000,,
Talklyka Pirate Claw,09-07-2022,1099,14400,
Tanukoui San Essence,09-07-2022,18979,155000,
Tengu Snowfoux Essence,09-07-2022,94343,,
Terristocrat Bomb Fuse,09-07-2022,1858,18498,239999
The Legend of Corruption,09-07-2022,9756871,,
The Legend of Misery,09-07-2022,1399998,,
The Legend of War,09-07-2022,5499915,,
Thermite Carapace,09-07-2022,3694,38900,
Thriten Tooth,09-07-2022,138,1100,15797
Tinkerbear Maxilla,09-07-2022,766,5997,76799
Tiwabbit Ears,09-07-2022,235,1323,17500
Tofu Beak,09-07-2022,199,2887,29999
Tofu Egg,09-07-2022,10,166,1700
Tofubine Egg,09-07-2022,497,7099,77779
Torpid Bearbarian Iris,09-07-2022,1743,20998,
Toxoliath Essence,09-07-2022,35889,349999,
Treadfast Beak,09-07-2022,4900,59697,
Treadfast Claw,09-07-2022,2100,17999,188866
Treecherous Bark,09-07-2022,3893,39804,
Treechnee Eye,09-07-2022,298,5998,59000
Treechnid Bark,09-07-2022,145,1700,15892
Treechnid Bud,09-07-2022,1,14,
Trool Bone,09-07-2022,15999,,
Tryde Trident,09-07-2022,3110,38990,399999
Tsukinochi Crescent,09-07-2022,1190,13998,
Tunder Alloy,09-07-2022,375998,,
Twelve Fingeres Ear,09-07-2022,200,2000,33000
Tynril Bark,09-07-2022,8111,99995,
Tynril Essence,09-07-2022,69469,,
Ugly Tofu Beak,09-07-2022,1199,12222,
Ush Essence,09-07-2022,98999,,
Vampiwe Wabbit Teeth,09-07-2022,5994,48800,
Venerable Treechnid Bark,09-07-2022,398,2886,24900
Venomous Brockhard Sce...,09-07-2022,500,8999,124000
Verminoculate Eye,09-07-2022,997,9989,179006
Vigi Pirate Eye,09-07-2022,1769,19990,
